0.265,0.534,0.401
0.696,0.323,0.655
0.799,0.519,0.729
0.517,0.457,0.560
0.700,0.309,0.324
0.612,0.413,0.466
0.501,0.330,0.419
0.639,0.877,0.698
0.249,0.445,0.486
0.755,0.449,0.732
0.835,0.541,0.683
0.649,0.436,0.435
0.694,0.472,0.642
0.690,0.363,0.508
0.548,0.519,0.666
0.438,0.532,0.395
0.400,0.546,0.368
0.525,0.692,0.624
0.598,0.456,0.476
0.666,0.522,0.666
0.678,0.600,0.607
0.734,0.367,0.595
0.838,0.402,0.355
0.552,0.594,0.629
0.609,0.758,0.817
0.674,0.575,0.684
0.478,0.654,0.663
0.193,0.683,0.661
0.269,0.066,0.159
0.544,0.649,0.639
0.846,0.718,0.860
0.450,0.365,0.375
0.364,0.945,0.877
0.591,0.768,0.697
0.738,0.530,0.590
0.337,0.420,0.355
0.325,0.727,0.525
0.341,0.600,0.423
0.233,0.571,0.521
0.477,0.588,0.595
0.594,0.438,0.437
0.783,0.679,0.858
0.797,0.360,0.658
0.369,0.220,0.257
0.962,0.919,0.956
0.605,0.265,0.463
0.826,0.237,0.642
0.505,0.693,0.518
0.413,0.791,0.517
0.345,0.662,0.596
0.312,0.535,0.430
0.578,0.447,0.574
0.132,0.781,0.653
0.360,0.926,0.705
0.606,0.512,0.544
0.510,0.655,0.694
0.333,0.348,0.524
0.630,0.638,0.617
0.581,0.804,0.663
0.568,0.784,0.707
0.519,0.686,0.804
0.748,0.136,0.533
0.539,0.417,0.476
0.537,0.593,0.655
0.441,0.474,0.356
0.172,0.563,0.554
0.509,0.595,0.693
0.276,0.831,0.721
0.495,0.311,0.402
0.534,0.505,0.432
0.648,0.444,0.574
0.399,0.299,0.299
0.585,0.612,0.612
0.481,0.329,0.487
0.624,0.558,0.685
0.244,0.248,0.181
0.411,0.453,0.432
0.508,0.782,0.769
0.369,0.765,0.639
0.539,0.516,0.533
0.453,0.609,0.465
0.616,0.494,0.550
0.872,0.662,0.807
0.719,0.724,0.624
0.574,0.557,0.643
0.823,0.663,0.814
0.668,0.455,0.423
0.633,0.582,0.603
0.273,0.814,0.586
0.155,0.291,0.228
0.828,0.720,0.688
0.591,0.451,0.302
0.476,0.545,0.288
0.151,0.295,0.235
0.547,0.643,0.609
0.618,0.332,0.532
0.544,0.480,0.609
0.520,0.692,0.610
0.444,0.733,0.745
0.783,0.781,0.678
0.536,0.558,0.463
0.574,0.775,0.666
0.334,0.762,0.702
0.354,0.489,0.426
0.349,0.332,0.476
0.499,0.825,0.695
0.667,0.942,0.762
0.449,0.383,0.226
0.484,0.607,0.473
0.999,0.355,0.571
0.232,1.000,0.843
0.693,0.646,0.760
0.571,0.376,0.462
0.579,0.625,0.619
0.416,0.404,0.342
0.433,0.411,0.336
0.617,0.670,0.552
0.643,0.579,0.450
0.535,0.767,0.774
0.379,0.853,0.696
0.452,0.377,0.475
0.677,0.324,0.393
0.583,0.477,0.580
0.349,0.220,0.321
0.573,0.245,0.485
0.850,0.542,0.660
0.354,0.737,0.611
0.631,0.589,0.648
0.436,0.265,0.336
0.557,0.764,0.722
0.428,0.589,0.607
0.478,0.502,0.353
